title,series,author,rating,pages,publishDate,numRatings,category
Harry Potter and the Sorcerer's Stone,Harry Potter #1,"J.K. Rowling, Mary GrandPré (Illustrator)",4.47,309,2003-11-01,7048471,Blank and Blank
The Hunger Games,The Hunger Games #1,Suzanne Collins,4.33,374,2008-09-14,6376780,The Adjective Noun
Twilight,The Twilight Saga #1,Stephenie Meyer,3.60,501,2006-09-06,4964519,One Word
1984,N/A,George Orwell,4.19,237,2013-09-03,3140442,One Word
Divergent,Divergent #1,Veronica Roth (Goodreads Author),4.19,487,2012-02-28,2906258,One Word
"The Hobbit, or There and Back Again",The Hobbit,J.R.R. Tolkien,4.27,366,2002-08-15,2896265,Blank and Blank
Harry Potter and the Deathly Hallows,Harry Potter #7,J.K. Rowling,4.62,759,2007-07-21,2811637,Blank and Blank
Harry Potter and the Prisoner of Azkaban,Harry Potter #3,"J.K. Rowling, Mary GrandPré (Illustrator)",4.57,435,2004-05-01,2806471,Blank of Blank
Animal Farm,N/A,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",3.95,141,1996-04-28,2740713,None
Harry Potter and the Chamber of Secrets,Harry Potter #2,"J.K. Rowling, Mary GrandPré (Illustrator)",4.43,341,1999-06-02,2725847,Blank of Blank
Harry Potter and the Goblet of Fire,Harry Potter #4,"J.K. Rowling, Mary GrandPré (Illustrator)",4.56,734,2002-09-28,2594622,Blank of Blank
Catching Fire,The Hunger Games #2,Suzanne Collins,4.29,391,2009-09-01,2514084,None
Harry Potter and the Order of the Phoenix,Harry Potter #5,"J.K. Rowling, Mary GrandPré (Illustrator)",4.50,870,2004-09-28,2507623,Blank of Blank
Harry Potter and the Half-Blood Prince,Harry Potter #6,J.K. Rowling,4.57,652,2006-09-16,2437658,Blank and Blank
The Fellowship of the Ring,The Lord of the Rings #1,J.R.R. Tolkien,4.36,527,1973-03-28,2355237,Blank of Blank
Mockingjay,The Hunger Games #3,Suzanne Collins,4.04,390,2010-08-24,2348368,One Word
"The Lion, the Witch and the Wardrobe",The Chronicles of Narnia (Publication Order) #1,C.S. Lewis,4.22,206,2005-10-28,2127972,Blank and Blank
The Alchemist,N/A,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",3.88,182,2014-04-15,2107732,The One Word
The Lovely Bones,N/A,Alice Sebold,3.82,372,2006-09-01,2014401,The Adjective Noun
A Game of Thrones,A Song of Ice and Fire #1,George R.R. Martin,4.45,835,2005-08-28,2003043,Blank of Blank
The Lightning Thief,Percy Jackson and the Olympians #1,Rick Riordan (Goodreads Author),4.26,375,2006-03-01,1992300,The Adjective Noun
The Giver,The Giver #1,Lois Lowry (Goodreads Author),4.13,208,2006-01-24,1785054,The One Word
Fahrenheit 451,N/A,Ray Bradbury,3.99,194,2011-11-29,1680139,None
City of Bones,The Mortal Instruments #1,Cassandra Clare (Goodreads Author),4.10,485,2007-03-27,1617465,Blank of Blank
The Time Traveler's Wife,N/A,Audrey Niffenegger (Goodreads Author),3.97,500,2013-09-23,1573857,None
New Moon,The Twilight Saga #2,Stephenie Meyer,3.54,563,2006-09-06,1466236,None
The Handmaid's Tale,The Handmaid's Tale #1,Margaret Atwood (Goodreads Author),4.11,314,1998-04-28,1459245,The Adjective Noun
Brave New World,N/A,Aldous Huxley,3.99,288,1998-09-01,1441287,None
Eragon,The Inheritance Cycle #1,Christopher Paolini (Goodreads Author),3.90,503,2005-04-28,1437124,One Word
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy #1,Douglas Adams,4.22,193,2007-06-23,1436325,None
Eclipse,The Twilight Saga #3,Stephenie Meyer,3.70,629,2007-08-07,1424531,One Word
Charlotte's Web,N/A,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",4.17,184,2001-10-01,1417302,None
The Little Prince,N/A,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",4.31,93,2000-06-29,1363048,The Adjective Noun
Life of Pi,N/A,Yann Martel,3.91,460,2006-08-29,1339076,Blank of Blank
Breaking Dawn,The Twilight Saga #4,Stephenie Meyer,3.70,756,2008-08-02,1323975,None
The Golden Compass,His Dark Materials #1,Philip Pullman,3.99,399,1996-04-16,1284131,The Adjective Noun
Where the Sidewalk Ends,N/A,Shel Silverstein,4.30,176,2022-11-02,1179086,None
Insurgent,Divergent #2,Veronica Roth (Goodreads Author),4.02,525,2012-05-01,1168021,One Word
Frankenstein: The 1818 Text,N/A,"Mary Wollstonecraft Shelley, Charlotte Gordon (Goodreads Author) (Introduction)",3.81,288,2018-03-08,1162638,None
Ender's Game,Ender's Saga #1,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",4.30,324,2004-09-30,1131303,None
Slaughterhouse-Five,N/A,Kurt Vonnegut Jr.,4.08,275,1999-01-12,1129210,One Word
The Shining,The Shining #1,Stephen King (Goodreads Author),4.23,659,1980-07-01,1126760,The One Word
The Maze Runner,The Maze Runner #1,James Dashner (Goodreads Author),4.03,384,2009-10-06,1056076,The Adjective Noun
A Wrinkle in Time,Time Quintet #1,Madeleine L'Engle,4.00,218,2017-11-07,1051535,None
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Peculiar Children #1,Ransom Riggs,3.91,352,2011-06-07,977080,None
The Picture of Dorian Gray,N/A,"Oscar Wilde, Jeffrey Eugenides (Introduction)",4.08,272,2004-06-01,966196,Blank of Blank
Dracula,Dracula #1,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",4.00,488,1986-05-12,938325,One Word
The Giving Tree,N/A,Shel Silverstein,4.37,64,1964-10-07,905731,The Adjective Noun
The Host,The Host #1,Stephenie Meyer,3.84,620,2008-05-06,894942,The One Word
The Selection,The Selection #1,Kiera Cass (Goodreads Author),4.13,336,2012-04-24,892728,The One Word
The Secret Garden,N/A,Frances Hodgson Burnett,4.13,331,1998-09-01,891374,The Adjective Noun
The Odyssey,N/A,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",3.77,541,2006-11-30,861486,The One Word
Ready Player One,Ready Player One #1,Ernest Cline (Goodreads Author),4.26,374,2011-08-16,860699,None
Allegiant,Divergent #3,Veronica Roth (Goodreads Author),3.62,526,2013-10-22,826865,One Word
Outlander,Outlander #1,Diana Gabaldon (Goodreads Author),4.23,850,2005-07-26,824014,One Word
The Martian,The Martian #1,Andy Weir (Goodreads Author),4.40,384,2014-02-11,817411,The One Word
Where the Wild Things Are,N/A,Maurice Sendak,4.22,37,2000-10-28,816934,None
Jurassic Park,Jurassic Park #1,Michael Crichton,4.04,466,2012-05-14,802556,None
It,N/A,Stephen King (Goodreads Author),4.24,1116,1987-10-01,802411,One Word
City of Glass,The Mortal Instruments #3,Cassandra Clare (Goodreads Author),4.31,541,2009-03-24,795269,Blank of Blank
A Clash of Kings,A Song of Ice and Fire #2,George R.R. Martin,4.41,969,2002-05-28,788274,Blank of Blank
The Princess Bride,N/A,William Goldman,4.26,456,2003-07-15,779597,The Adjective Noun
Dune,Dune #1,Frank Herbert,4.23,661,2019-10-01,765785,One Word
American Gods,American Gods #1,Neil Gaiman (Goodreads Author),4.11,635,2011-06-21,758439,None
One Hundred Years of Solitude,N/A,"Gabriel García Márquez, Gregory Rabassa (Translator)",4.08,417,2003-06-24,753470,Blank of Blank
The Sea of Monsters,Percy Jackson and the Olympians #2,Rick Riordan (Goodreads Author),4.24,279,2006-04-01,748643,Blank of Blank
City of Ashes,The Mortal Instruments #2,Cassandra Clare (Goodreads Author),4.17,453,2008-03-25,746180,Blank of Blank
The Battle of the Labyrinth,Percy Jackson and the Olympians #4,Rick Riordan (Goodreads Author),4.39,361,2008-03-06,741242,Blank of Blank
The Two Towers,The Lord of the Rings #2,"J.R.R. Tolkien, Peter S. Beagle (Goodreads Author) (Introduction)",4.44,322,2003-09-05,719647,The Adjective Noun
The Road,N/A,Cormac McCarthy,3.97,241,2006-10-02,716197,The One Word
