the,The Adj Noun
hunger,The Adj Noun
games,The Adj Noun
harry,___ of ___
potter,___ of ___
and,___ of ___
the,___ of ___
order,___ of ___
of,___ of ___
the,___ of ___
phoenix,___ of ___
twilight,One Word
animal,None
farm,None
the,___ of ___
chronicles,___ of ___
of,___ of ___
narnia,___ of ___
j.r.r.,___ of ___
tolkien,___ of ___
4-book,___ of ___
boxed,___ of ___
set:,___ of ___
the,___ of ___
hobbit,___ of ___
and,___ of ___
the,___ of ___
lord,___ of ___
of,___ of ___
the,___ of ___
rings,___ of ___
the,None
hitchhiker's,None
guide,None
to,None
the,None
galaxy,None
the,The Adj Noun
giving,The Adj Noun
tree,The Adj Noun
the,___ of ___
picture,___ of ___
of,___ of ___
dorian,___ of ___
gray,___ of ___
alice's,___ and ___
adventures,___ and ___
in,___ and ___
wonderland,___ and ___
&,___ and ___
through,___ and ___
the,___ and ___
looking-glass,___ and ___
fahrenheit,None
451,None
divergent,One Word
the,"""The"" One Word"
alchemist,"""The"" One Word"
city,___ of ___
of,___ of ___
bones,___ of ___
ender's,None
game,None
harry,___ and ___
potter,___ and ___
and,___ and ___
the,___ and ___
sorcerer's,___ and ___
stone,___ and ___
the,The Adj Noun
little,The Adj Noun
prince,The Adj Noun
charlotte's,None
web,None
the,None
time,None
traveler's,None
wife,None
dracula,One Word
brave,None
new,None
world,None
one,___ of ___
hundred,___ of ___
years,___ of ___
of,___ of ___
solitude,___ of ___
the,The Adj Noun
princess,The Adj Noun
bride,The Adj Noun
the,The Adj Noun
lightning,The Adj Noun
thief,The Adj Noun
the,The Adj Noun
secret,The Adj Noun
garden,The Adj Noun
a,None
wrinkle,None
in,None
time,None
a,___ of ___
game,___ of ___
of,___ of ___
thrones,___ of ___
the,The Adj Noun
lovely,The Adj Noun
bones,The Adj Noun
where,None
the,None
wild,None
things,None
are,None
green,___ and ___
eggs,___ and ___
and,___ and ___
ham,___ and ___
the,"""The"" One Word"
odyssey,"""The"" One Word"
life,___ of ___
of,___ of ___
pi,___ of ___
slaughterhouse-five,One Word
frankenstein:,None
the,None
1818,None
text,None
the,The Adj Noun
handmaid's,The Adj Noun
tale,The Adj Noun
the,"""The"" One Word"
giver,"""The"" One Word"
dune,One Word
the,___ of ___
pillars,___ of ___
of,___ of ___
the,___ of ___
earth,___ of ___
the,"""The"" One Word"
stand,"""The"" One Word"
watership,None
down,None
harry,___ and ___
potter,___ and ___
and,___ and ___
the,___ and ___
deathly,___ and ___
hallows,___ and ___
outlander,One Word
matilda,One Word
the,___ of ___
fellowship,___ of ___
of,___ of ___
the,___ of ___
ring,___ of ___
1984,One Word
vampire,None
academy,None
the,The Adj Noun
golden,The Adj Noun
compass,The Adj Noun
harry,___ of ___
potter,___ of ___
and,___ of ___
the,___ of ___
prisoner,___ of ___
of,___ of ___
azkaban,___ of ___
winnie-the-pooh,One Word
the,___ and ___
complete,___ and ___
stories,___ and ___
and,___ and ___
poems,___ and ___
interview,None
with,None
the,None
vampire,None
harry,___ of ___
potter,___ of ___
and,___ of ___
the,___ of ___
goblet,___ of ___
of,___ of ___
fire,___ of ___
clockwork,None
angel,None
harry,___ and ___
potter,___ and ___
and,___ and ___
the,___ and ___
half-blood,___ and ___
prince,___ and ___
the,___ and ___
master,___ and ___
and,___ and ___
margarita,___ and ___
the,___ of ___
name,___ of ___
of,___ of ___
the,___ of ___
wind,___ of ___
the,"""The"" One Word"
shining,"""The"" One Word"
eragon,One Word
charlie,___ and ___
and,___ and ___
the,___ and ___
chocolate,___ and ___
factory,___ and ___
the,"""The"" One Word"
metamorphosis,"""The"" One Word"
the,___ of ___
shadow,___ of ___
of,___ of ___
the,___ of ___
wind,___ of ___
harry,___ of ___
potter,___ of ___
and,___ of ___
the,___ of ___
chamber,___ of ___
of,___ of ___
secrets,___ of ___
the,None
five,None
people,None
you,None
meet,None
in,None
heaven,None
"hush,",None
hush,None
the,None
cat,None
in,None
the,None
hat,None
american,None
gods,None
the,___ and ___
"lion,",___ and ___
the,___ and ___
witch,___ and ___
and,___ and ___
the,___ and ___
wardrobe,___ and ___
watchmen,One Word
it,One Word
the,The Adj Noun
last,The Adj Noun
olympian,The Adj Noun
the,The Adj Noun
divine,The Adj Noun
comedy,The Adj Noun
peter,None
pan,None
the,___ and ___
"hobbit,",___ and ___
or,___ and ___
there,___ and ___
and,___ and ___
back,___ and ___
again,___ and ___
shadow,None
kiss,None
insurgent,One Word
how,None
the,None
grinch,None
stole,None
christmas!,None
the,None
ultimate,None
hitchhiker's,None
guide,None
to,None
the,None
galaxy,None
the,___ of ___
wonderful,___ of ___
wizard,___ of ___
of,___ of ___
oz,___ of ___
frostbite,One Word
the,"""The"" One Word"
lorax,"""The"" One Word"
good,___ of ___
omens:,___ of ___
the,___ of ___
nice,___ of ___
and,___ of ___
accurate,___ of ___
prophecies,___ of ___
of,___ of ___
agnes,___ of ___
"nutter,",___ of ___
witch,___ of ___
blood,None
promise,None
the,___ of ___
battle,___ of ___
of,___ of ___
the,___ of ___
labyrinth,___ of ___
a,None
midsummer,None
night's,None
dream,None
clockwork,None
princess,None
the,___ of ___
mists,___ of ___
of,___ of ___
avalon,___ of ___
the,The Adj Noun
titan's,The Adj Noun
curse,The Adj Noun
the,___ of ___
sea,___ of ___
of,___ of ___
monsters,___ of ___
alice,None
in,None
wonderland,None
jonathan,None
livingston,None
seagull,None
the,The Adj Noun
phantom,The Adj Noun
tollbooth,The Adj Noun
bridge,None
to,None
terabithia,None
the,None
hunger,None
games,None
trilogy,None
boxset,None
"oh,",None
the,None
places,None
you'll,None
go!,None
the,The Adj Noun
maze,The Adj Noun
runner,The Adj Noun
the,The Adj Noun
neverending,The Adj Noun
story,The Adj Noun
treasure,None
island,None
the,___ of ___
clan,___ of ___
of,___ of ___
the,___ of ___
cave,___ of ___
bear,___ of ___
a,___ of ___
storm,___ of ___
of,___ of ___
swords,___ of ___
wicked:,___ of ___
the,___ of ___
life,___ of ___
and,___ of ___
times,___ of ___
of,___ of ___
the,___ of ___
wicked,___ of ___
witch,___ of ___
of,___ of ___
the,___ of ___
west,___ of ___
his,None
dark,None
materials,None
jurassic,None
park,None
last,None
sacrifice,None
the,The Adj Noun
night,The Adj Noun
circus,The Adj Noun
fallen,One Word
the,"""The"" One Word"
silmarillion,"""The"" One Word"
the,"""The"" One Word"
selection,"""The"" One Word"
the,The Adj Noun
velveteen,The Adj Noun
rabbit,The Adj Noun
catching,None
fire,None
the,The Adj Noun
lost,The Adj Noun
hero,The Adj Noun
throne,___ of ___
of,___ of ___
glass,___ of ___
spirit,None
bound,None
clockwork,None
prince,None
the,The Adj Noun
iliad/the,The Adj Noun
odyssey,The Adj Noun
cat's,None
cradle,None
the,None
wind,None
in,None
the,None
willows,None
the,The Adj Noun
screwtape,The Adj Noun
letters,The Adj Noun
shiver,One Word
uglies,One Word
city,___ of ___
of,___ of ___
fallen,___ of ___
angels,___ of ___
the,___ of ___
phantom,___ of ___
of,___ of ___
the,___ of ___
opera,___ of ___
ella,None
enchanted,None
the,None
wind-up,None
bird,None
chronicle,None
cinder,One Word
the,The Adj Noun
green,The Adj Noun
mile,The Adj Noun
a,___ of ___
clash,___ of ___
of,___ of ___
kings,___ of ___
marked,One Word
the,___ of ___
house,___ of ___
of,___ of ___
the,___ of ___
spirits,___ of ___
howl's,None
moving,None
castle,None
stranger,None
in,None
a,None
strange,None
land,None
midnight,None
sun,None
[2008,None
draft],None
delirium,One Word
the,The Adj Noun
vampire,The Adj Noun
lestat,The Adj Noun
the,___ and ___
once,___ and ___
and,___ and ___
future,___ and ___
king,___ and ___
neverwhere,One Word
inkheart,One Word
lamb:,None
the,None
gospel,None
according,None
to,None
"biff,",None
christ's,None
childhood,None
pal,None
the,"""The"" One Word"
historian,"""The"" One Word"
james,___ and ___
and,___ and ___
the,___ and ___
giant,___ and ___
peach,___ and ___
paradise,None
lost,None
graceling,One Word
the,The Adj Noun
thirteenth,The Adj Noun
tale,The Adj Noun
foundation,One Word
the,The Adj Noun
time,The Adj Noun
machine,The Adj Noun
different,None
seasons,None
kafka,None
on,None
the,None
shore,None
city,___ of ___
of,___ of ___
lost,___ of ___
souls,___ of ___
sophie's,None
world,None
the,None
wise,None
man's,None
fear,None
the,___ of ___
son,___ of ___
of,___ of ___
neptune,___ of ___
dead,None
until,None
dark,None
ready,None
player,None
one,None
the,___ of ___
monster,___ of ___
at,___ of ___
the,___ of ___
end,___ of ___
of,___ of ___
this,___ of ___
book,___ of ___
a,___ of ___
