title,category
The Hunger Games,The Adj Noun
Harry Potter and the Order of the Phoenix,___ of ___
Twilight,One Word
Animal Farm,None
The Chronicles of Narnia,___ of ___
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,___ of ___
The Hitchhiker's Guide to the Galaxy,None
The Giving Tree,The Adj Noun
The Picture of Dorian Gray,___ of ___
Alice's Adventures in Wonderland & Through the Looking-Glass,___ and ___
Fahrenheit 451,None
Divergent,One Word
The Alchemist,"""The"" One Word"
City of Bones,___ of ___
Ender's Game,None
Harry Potter and the Sorcerer's Stone,___ and ___
The Little Prince,The Adj Noun
Charlotte's Web,None
The Time Traveler's Wife,None
Dracula,One Word
Brave New World,None
One Hundred Years of Solitude,___ of ___
The Princess Bride,The Adj Noun
The Lightning Thief,The Adj Noun
The Secret Garden,The Adj Noun
A Wrinkle in Time,None
A Game of Thrones,___ of ___
The Lovely Bones,The Adj Noun
Where the Wild Things Are,None
Green Eggs and Ham,___ and ___
The Odyssey,"""The"" One Word"
Life of Pi,___ of ___
Slaughterhouse-Five,One Word
Frankenstein: The 1818 Text,None
The Handmaid's Tale,The Adj Noun
The Giver,"""The"" One Word"
Dune,One Word
The Pillars of the Earth,___ of ___
The Stand,"""The"" One Word"
Watership Down,None
Harry Potter and the Deathly Hallows,___ and ___
Outlander,One Word
Matilda,One Word
The Fellowship of the Ring,___ of ___
1984,One Word
Vampire Academy,None
The Golden Compass,The Adj Noun
Harry Potter and the Prisoner of Azkaban,___ of ___
Winnie-the-Pooh,One Word
The Complete Stories and Poems,___ and ___
Interview with the Vampire,None
Harry Potter and the Goblet of Fire,___ of ___
Clockwork Angel,None
Harry Potter and the Half-Blood Prince,___ and ___
The Master and Margarita,___ and ___
The Name of the Wind,___ of ___
The Shining,"""The"" One Word"
Eragon,One Word
Charlie and the Chocolate Factory,___ and ___
The Metamorphosis,"""The"" One Word"
The Shadow of the Wind,___ of ___
Harry Potter and the Chamber of Secrets,___ of ___
The Five People You Meet in Heaven,None
"Hush, Hush",None
The Cat in the Hat,None
American Gods,None
"The Lion, the Witch and the Wardrobe",___ and ___
